class,S,cen_mean,cen_std,gossip_mean,gossip_std,depot_mean,depot_std
drone,5,1.000,0.001,0.082,0.014,1.000,0.000
drone,15,0.945,0.012,0.082,0.011,1.000,0.000
drone,25,0.682,0.021,0.082,0.011,1.000,0.000
drone,35,0.399,0.019,0.080,0.012,1.000,0.000
drone,45,0.206,0.018,0.079,0.011,1.000,0.000
drone,55,0.103,0.012,0.084,0.013,1.000,0.001
drone,65,0.047,0.009,0.081,0.014,1.000,0.001
drone,75,0.023,0.007,0.080,0.011,0.999,0.001
drone,85,0.010,0.005,0.082,0.012,0.999,0.001
drone,95,0.004,0.002,0.082,0.010,0.998,0.002
drone,105,0.001,0.001,0.080,0.010,0.997,0.002
drone,115,0.000,0.000,0.083,0.012,0.996,0.003
drone,125,0.000,0.000,0.082,0.011,0.993,0.004
drone,135,0.000,0.000,0.084,0.011,0.989,0.004
drone,145,0.000,0.000,0.082,0.014,0.985,0.006
drone,155,0.000,0.000,0.082,0.013,0.980,0.006
drone,165,0.000,0.000,0.081,0.010,0.973,0.007
drone,175,0.000,0.000,0.079,0.012,0.967,0.007
drone,185,0.000,0.000,0.081,0.012,0.957,0.010
drone,195,0.000,0.000,0.079,0.011,0.948,0.010
av,5,0.953,0.009,0.219,0.018,0.959,0.009
av,15,0.925,0.010,0.221,0.019,0.956,0.008
av,25,0.889,0.014,0.223,0.017,0.944,0.009
av,35,0.850,0.015,0.220,0.018,0.939,0.010
av,45,0.812,0.019,0.219,0.020,0.930,0.012
av,55,0.765,0.016,0.223,0.020,0.923,0.012
av,65,0.719,0.021,0.227,0.019,0.910,0.012
av,75,0.672,0.021,0.224,0.017,0.903,0.013
av,85,0.626,0.023,0.223,0.016,0.894,0.016
av,95,0.570,0.022,0.223,0.020,0.887,0.016
av,105,0.528,0.019,0.227,0.018,0.872,0.013
av,115,0.487,0.023,0.220,0.019,0.866,0.015
av,125,0.446,0.019,0.221,0.018,0.853,0.015
av,135,0.411,0.025,0.222,0.016,0.848,0.016
av,145,0.363,0.020,0.226,0.020,0.830,0.016
av,155,0.330,0.021,0.223,0.019,0.822,0.019
av,165,0.298,0.017,0.221,0.017,0.807,0.018
av,175,0.264,0.018,0.220,0.017,0.793,0.018
av,185,0.241,0.019,0.219,0.017,0.783,0.016
av,195,0.214,0.019,0.225,0.017,0.775,0.018
