class,S,cen_mean,cen_std,gossip_mean,gossip_std,depot_mean,depot_std
drone,5,1.000,0.001,0.083,0.010,1.000,0.000
drone,15,0.950,0.010,0.079,0.011,1.000,0.000
drone,25,0.703,0.022,0.081,0.012,1.000,0.000
drone,35,0.425,0.022,0.080,0.012,1.000,0.000
drone,45,0.225,0.018,0.085,0.013,1.000,0.000
drone,55,0.113,0.012,0.084,0.011,1.000,0.001
drone,65,0.053,0.010,0.083,0.012,0.999,0.001
drone,75,0.028,0.007,0.082,0.014,0.999,0.001
drone,85,0.014,0.005,0.077,0.013,0.999,0.001
drone,95,0.006,0.004,0.082,0.013,0.998,0.002
drone,105,0.002,0.002,0.079,0.012,0.997,0.002
drone,115,0.000,0.000,0.079,0.012,0.996,0.003
drone,125,0.000,0.000,0.082,0.013,0.993,0.004
drone,135,0.000,0.000,0.082,0.012,0.992,0.004
drone,145,0.000,0.000,0.079,0.013,0.987,0.005
drone,155,0.000,0.000,0.080,0.012,0.983,0.006
drone,165,0.000,0.000,0.081,0.014,0.976,0.007
drone,175,0.000,0.000,0.078,0.014,0.971,0.006
drone,185,0.000,0.000,0.079,0.013,0.961,0.008
drone,195,0.000,0.000,0.082,0.014,0.956,0.009
av,5,0.900,0.013,0.217,0.016,0.905,0.011
av,15,0.874,0.016,0.217,0.019,0.901,0.011
av,25,0.841,0.018,0.217,0.021,0.889,0.012
av,35,0.809,0.017,0.214,0.017,0.890,0.012
av,45,0.772,0.020,0.215,0.021,0.879,0.013
av,55,0.736,0.019,0.215,0.017,0.874,0.012
av,65,0.688,0.023,0.215,0.018,0.863,0.015
av,75,0.642,0.023,0.221,0.020,0.855,0.017
av,85,0.601,0.020,0.220,0.019,0.846,0.016
av,95,0.563,0.021,0.216,0.016,0.842,0.018
av,105,0.512,0.022,0.214,0.016,0.828,0.016
av,115,0.475,0.022,0.214,0.019,0.823,0.018
av,125,0.431,0.022,0.215,0.018,0.810,0.018
av,135,0.401,0.019,0.214,0.017,0.803,0.016
av,145,0.367,0.019,0.217,0.019,0.792,0.017
av,155,0.334,0.021,0.214,0.018,0.778,0.019
av,165,0.303,0.017,0.215,0.017,0.770,0.020
av,175,0.273,0.021,0.218,0.019,0.755,0.018
av,185,0.244,0.020,0.220,0.018,0.750,0.022
av,195,0.218,0.020,0.212,0.018,0.741,0.019
